number,name,phase,tier,purpose,file
001,Cynefin Domain Classification,FRAME,1,Determine problem type for assessment method selection,001_Cynefin_Domain_Classification.md
002,Feasibility Question Decomposition,FRAME,1,Break monolithic question into assessable sub-questions,002_Feasibility_Question_Decomposition.md
003,Feasibility Scope Definition,FRAME,1,Define what is and is not being assessed,003_Feasibility_Scope_Definition.md
101,Constraint Hardness Spectrum,CONSTRAIN,1,Classify constraints from impossible to inconvenient (H0-H5),101_Constraint_Hardness_Spectrum.md
102,Requisite Variety Audit,CONSTRAIN,1,Check if team variety matches problem complexity (Ashby),102_Requisite_Variety_Audit.md
103,TRIZ Contradiction Detection,CONSTRAIN,2,Find technical and physical contradictions in requirements,103_TRIZ_Contradiction_Detection.md
104,Conway Alignment Check,CONSTRAIN,2,Assess org structure vs required architecture alignment,104_Conway_Alignment_Check.md
105,Regulatory Feasibility Scan,CONSTRAIN,2,Determine if project is legally permitted,105_Regulatory_Feasibility_Scan.md
106,Precedent Existence Check,CONSTRAIN,1,Search for similar projects that have been done before,106_Precedent_Existence_Check.md
201,Technical Feasibility (TRL),ASSESS,1,Assess technology readiness and scale validation,201_Technical_Feasibility_TRL.md
202,Resource Feasibility,ASSESS,1,Assess people budget infrastructure tools availability,202_Resource_Feasibility.md
203,Knowledge Feasibility,ASSESS,1,Assess if team knows HOW to do this,203_Knowledge_Feasibility.md
204,Organizational Feasibility,ASSESS,1,Assess if org can execute (structure process culture),204_Organizational_Feasibility.md
205,Temporal Feasibility,ASSESS,1,Assess critical path vs deadline,205_Temporal_Feasibility.md
206,Compositional Feasibility,ASSESS,1,Assess if parts work together as system,206_Compositional_Feasibility.md
207,Economic Feasibility,ASSESS,1,Assess if worth doing (costs vs benefits),207_Economic_Feasibility.md
208,Scale Feasibility,ASSESS,1,Assess demo-to-production gap,208_Scale_Feasibility.md
209,Cognitive Feasibility,ASSESS,1,Assess if team can understand what they are building,209_Cognitive_Feasibility.md
210,Dependency Feasibility,ASSESS,1,Assess external dependency availability and reliability,210_Dependency_Feasibility.md
301,Reference Class Forecasting,VALIDATE,1,Use external base rates instead of internal estimates,301_Reference_Class_Forecasting.md
302,Critical Assumption Testing,VALIDATE,1,Empirically test key feasibility assumptions,302_Critical_Assumption_Testing.md
303,Probe Design,VALIDATE,2,Design safe-to-fail experiments for Complex domains,303_Probe_Design.md
304,Expert Judgment Calibration,VALIDATE,2,Gather and debias expert estimates,304_Expert_Judgment_Calibration.md
305,Analogical Feasibility Transfer,VALIDATE,2,Assess how well precedent transfers to current situation,305_Analogical_Feasibility_Transfer.md
306,Integration Spike,VALIDATE,2,Build and test hardest integration point first,306_Integration_Spike.md
401,Multi-Axis Feasibility Profile,DECIDE,1,Aggregate 10 dimensions into visual profile,401_Multi_Axis_Feasibility_Profile.md
402,Confidence-Weighted Decision,DECIDE,1,Combine score with confidence for decision,402_Confidence_Weighted_Decision.md
403,Conditional Feasibility Map,DECIDE,2,Map all feasibility conditions (feasible IF),403_Conditional_Feasibility_Map.md
404,Feasibility Decay Monitoring,DECIDE,2,Design triggers for reassessment,404_Feasibility_Decay_Monitoring.md
501,Planning Fallacy Detection,META,1,Check for systematic optimism signals,501_Planning_Fallacy_Detection.md
502,Hofstadter Correction,META,1,Apply recursive estimation adjustment,502_Hofstadter_Correction.md
503,Confidence Theater Detection,META,2,Distinguish genuine from performed confidence,503_Confidence_Theater_Detection.md
504,Dunning-Kruger Dimension Map,META,2,Identify low expertise high confidence zones,504_Dunning_Kruger_Dimension_Map.md
505,Meta-Feasibility Check,META,2,Assess if feasibility assessment itself is feasible,505_Meta_Feasibility_Check.md
